State Name,Year,Month,Day of Week,Accident Severity,Number of Vehicles Involved,Vehicle Type Involved,Number of Casualties,Number of Fatalities,Weather Conditions,Road Type,Road Condition,Lighting Conditions,Speed Limit (km/h),Driver Age,Driver Gender,Accident Location Details,Time_of_Day_Numerical,Alcohol Involvement_Yes
Jammu and Kashmir,2021,5,1,1,5,8,0,4,7,5,2,2,61,66,1,7,6360,1
Uttar Pradesh,2018,5,3,0,5,2,5,4,7,6,1,3,92,60,1,8,77400,1
Chhattisgarh,2023,5,3,0,5,6,6,5,4,5,5,4,120,26,2,4,20220,0
Uttar Pradesh,2020,5,6,0,3,4,10,5,2,4,1,2,76,34,2,8,1860,1
Sikkim,2021,5,4,0,5,8,7,1,4,6,2,3,115,30,1,1,40860,0
Meghalaya,2020,5,2,1,1,2,6,2,7,6,1,1,48,44,1,4,29040,1
Sikkim,2021,5,1,2,2,7,9,5,4,6,5,3,111,48,2,8,68100,0
Himachal Pradesh,2022,5,3,0,3,2,1,5,1,4,6,2,62,42,2,7,42000,0
Rajasthan,2021,5,6,2,3,2,7,1,1,6,6,4,35,53,1,8,30360,0
Rajasthan,2018,5,6,2,2,1,3,2,4,4,5,2,110,50,2,8,7260,1
Himachal Pradesh,2020,5,4,0,5,6,1,3,7,5,1,3,35,49,2,8,80700,0
Uttar Pradesh,2018,5,2,2,3,4,1,4,1,5,2,3,46,41,1,7,60540,0
Assam,2021,5,6,1,1,8,2,3,7,6,5,1,46,55,2,8,84120,0
Bihar,2020,5,3,1,5,1,0,0,4,4,2,3,98,44,2,4,24420,0
Telangana,2021,5,5,1,3,4,6,3,4,5,2,4,47,54,1,1,68220,0
Arunachal Pradesh,2018,5,5,0,4,8,4,5,7,4,5,3,60,44,2,7,43560,0
Andhra Pradesh,2019,5,7,0,2,8,7,4,2,6,6,2,90,51,2,7,46020,0
Karnataka,2023,5,4,2,5,1,10,2,7,6,2,2,114,51,2,1,68340,0
Sikkim,2023,5,3,1,3,7,7,1,2,5,5,4,80,55,1,4,39060,1
Chhattisgarh,2022,5,6,2,3,1,7,5,4,4,2,1,46,57,2,8,23940,1
Madhya Pradesh,2018,5,2,1,5,7,6,3,2,6,1,3,30,20,2,4,29400,1
Puducherry,2022,5,3,1,2,1,10,3,7,6,1,3,55,41,2,8,5700,0
Uttar Pradesh,2022,5,5,2,1,7,9,4,1,5,2,4,34,23,2,4,67860,1
Maharashtra,2022,5,2,1,3,8,1,3,4,5,1,1,106,48,1,1,48840,0
Jammu and Kashmir,2022,5,1,1,1,7,1,1,4,6,6,4,31,20,1,8,12540,0
Tamil Nadu,2018,5,2,2,3,7,2,2,7,5,2,1,92,43,2,1,40200,1
Madhya Pradesh,2019,5,3,0,2,6,7,5,1,4,5,1,71,65,1,8,57480,0
Madhya Pradesh,2023,5,3,2,1,1,10,1,7,5,6,3,90,64,2,4,3240,0
Chandigarh,2019,5,5,1,2,4,8,0,7,6,2,1,83,31,2,7,56520,0
Uttar Pradesh,2018,5,7,0,3,7,2,1,7,5,5,3,33,24,2,8,39180,1
Gujarat,2019,5,4,2,2,1,7,0,7,4,5,4,69,51,2,4,54060,0
Uttar Pradesh,2022,5,2,2,1,4,0,3,1,5,5,2,53,63,1,8,33900,0
Maharashtra,2020,5,6,1,5,4,6,2,7,6,6,4,82,68,2,7,84060,0
Odisha,2018,5,4,0,3,7,7,2,7,4,6,2,79,41,1,7,43260,1
Telangana,2023,5,6,0,2,6,8,3,7,5,1,4,30,40,1,4,63420,1
West Bengal,2023,5,7,1,3,8,9,5,7,6,6,2,106,25,2,8,39720,1
Kerala,2019,5,2,2,2,1,3,1,4,4,6,4,102,32,2,4,57780,0
Assam,2020,5,4,0,2,1,1,5,4,5,5,4,48,69,2,7,69480,0
Nagaland,2018,5,6,0,5,2,5,3,4,6,5,3,32,65,1,1,63780,0
Meghalaya,2022,5,1,1,1,2,4,1,7,6,5,3,59,60,1,8,22800,0
Chhattisgarh,2022,5,3,2,2,2,5,5,2,5,5,1,88,53,2,4,61680,0
Gujarat,2022,5,2,1,5,7,2,2,4,6,6,3,83,56,1,1,73140,0
West Bengal,2020,5,5,0,2,7,2,5,1,4,5,4,58,47,2,4,28680,0
West Bengal,2018,5,7,1,5,8,2,5,2,6,6,2,30,20,1,8,27960,1
Tripura,2022,5,7,1,1,2,8,1,4,5,6,4,104,42,1,7,39120,0
Karnataka,2021,5,3,0,3,2,1,5,2,6,5,2,93,44,1,1,81360,1
West Bengal,2021,5,5,0,3,7,4,4,4,4,6,2,82,53,1,1,32640,0
Chhattisgarh,2020,5,2,2,5,8,0,2,2,6,2,1,82,48,1,7,70440,1
Himachal Pradesh,2019,5,3,1,2,1,2,5,7,6,5,1,108,37,2,1,18000,1
Gujarat,2023,5,7,0,4,7,9,4,7,5,1,3,41,49,2,7,16380,0
Gujarat,2019,5,3,2,4,7,3,5,2,4,2,3,61,51,2,1,1560,0
Uttar Pradesh,2018,5,4,0,2,7,6,2,2,5,2,3,109,30,1,4,68220,0
Odisha,2022,5,2,2,4,7,1,3,4,5,5,1,30,57,1,7,81780,0
Uttarakhand,2022,5,7,0,5,7,1,4,7,4,6,4,114,25,2,8,33000,1
Chhattisgarh,2021,5,6,1,4,6,6,4,4,4,1,3,37,22,1,1,20280,1
Karnataka,2020,5,4,1,2,4,1,5,7,4,5,2,50,44,1,8,73260,0
Uttarakhand,2022,5,7,1,1,1,8,1,7,5,2,2,89,20,1,1,2100,0
Arunachal Pradesh,2023,5,5,2,2,7,9,2,2,4,5,1,117,59,1,4,81060,1
West Bengal,2022,5,2,2,5,8,7,4,2,4,2,4,45,56,2,4,1440,0
Chhattisgarh,2018,5,1,1,3,7,8,3,4,4,1,4,70,62,2,4,25740,1
Haryana,2021,5,7,2,1,7,6,4,7,4,1,2,60,56,2,1,30780,0
Andhra Pradesh,2022,5,1,0,1,6,0,0,1,5,1,4,95,51,2,4,28260,0
Assam,2023,5,6,2,2,4,6,0,1,6,1,3,31,54,2,8,22200,0
Himachal Pradesh,2018,5,6,0,1,8,6,3,4,6,6,4,85,55,1,1,36360,0
